Fecha,Cierre,Apertura,Alto,Bajo,Volumen
9/1/2022, 277.16 , 272.58 , 277.58 , 266.15 ,"54,287,024"
9/2/2022, 270.21 , 281.07 , 282.35 , 269.08 ,"50,890,090"
9/6/2022, 274.42 , 272.68 , 275.99 , 265.74 ,"55,859,984"
9/7/2022, 283.70 , 273.10 , 283.84 , 272.27 ,"50,028,916"
9/8/2022, 289.26 , 281.30 , 289.50 , 279.76 ,"53,713,124"
9/9/2022, 299.68 , 291.67 , 299.85 , 291.25 ,"54,470,854"
9/12/2022, 304.42 , 300.72 , 305.49 , 300.40 ,"48,674,604"
9/13/2022, 292.13 , 292.90 , 297.40 , 290.40 ,"68,229,619"
9/14/2022, 302.61 , 292.24 , 306.00 , 291.64 ,"72,628,653"
9/15/2022, 303.75 , 301.83 , 309.12 , 300.72 ,"64,795,523"
9/16/2022, 303.35 , 299.61 , 303.71 , 295.60 ,"87,087,786"
9/19/2022, 309.07 , 300.09 , 309.84 , 297.80 ,"60,231,156"
9/20/2022, 308.73 , 306.91 , 313.33 , 305.58 ,"61,642,783"
9/21/2022, 300.80 , 308.29 , 313.80 , 300.63 ,"62,555,656"
9/22/2022, 288.59 , 299.86 , 301.29 , 285.82 ,"70,545,413"
9/23/2022, 275.33 , 283.09 , 284.50 , 272.82 ,"63,748,362"
9/26/2022, 276.01 , 271.83 , 284.09 , 270.31 ,"58,076,913"
9/27/2022, 282.94 , 283.84 , 288.67 , 277.51 ,"61,925,185"
9/28/2022, 287.81 , 283.08 , 289.00 , 277.57 ,"54,664,809"
9/29/2022, 268.21 , 282.76 , 283.65 , 265.78 ,"77,620,642"
9/30/2022, 265.25 , 266.15 , 275.57 , 262.47 ,"67,726,598"
10/3/2022, 242.40 , 254.50 , 255.16 , 241.01 ,"98,363,541"
10/4/2022, 249.44 , 250.52 , 257.50 , 242.01 ,"109,578,535"
10/5/2022, 240.81 , 245.01 , 246.67 , 233.27 ,"86,982,673"
